|Sütunlar||
Satırlar|İbbs-Düzey1, İbbs-Düzey2,  İl Ve İlçe Nüfusları||
|2017|2022|
|Ölçüm bazında|Ölçüm bazında|
|||
|||
Ardahan(Posof)-1579|6567.0|6296.0|
Artvin(Ardanuç)-1145|10599.0|11074.0|
Artvin(Arhavi)-1147|20452.0|21520.0|
Artvin(Borçka)-1202|21697.0|21748.0|
Artvin(Hopa)-1395|26805.0|28231.0|
Artvin(Kemalpaşa)-2105|8786.0|8954.0|
Artvin(Merkez)-1152|34926.0|36133.0|
Artvin(Murgul)-1828|6189.0|6325.0|
Artvin(Şavşat)-1653|16471.0|16564.0|
Artvin(Yusufeli)-1736|20218.0|18854.0|
Aydın(Bozdoğan)-1206|33670.0|32607.0|
Aydın(Buharkent)-1781|12655.0|13022.0|
Aydın(Çine)-1256|49515.0|48466.0|
Aydın(Didim)-2000|79464.0|97000.0|
Aydın(Efeler)-2076|287518.0|303772.0|
Aydın(Germencik)-1348|43809.0|44172.0|
Aydın(İncirliova)-1807|50340.0|55848.0|
Aydın(Karacasu)-1435|18646.0|17620.0|
Aydın(Karpuzlu)-1957|11170.0|10590.0|
Aydın(Koçarlı)-1479|23139.0|21832.0|
Aydın(Köşk)-1968|27437.0|28235.0|
Aydın(Kuşadası)-1497|109058.0|130835.0|
Aydın(Kuyucak)-1498|26898.0|26111.0|
Aydın(Nazilli)-1542|155320.0|162737.0|
Aydın(Söke)-1637|118855.0|123301.0|
Aydın(Sultanhisar)-1640|20749.0|20230.0|
Aydın(Yenipazar)-1724|12596.0|11863.0|
Balıkesir(Altıeylül)-2077|177867.0|183736.0|
Balıkesir(Ayvalık)-1161|68831.0|74030.0|
Balıkesir(Balya)-1169|12997.0|12451.0|
Balıkesir(Bandırma)-1171|152480.0|164965.0|
Balıkesir(Bigadiç)-1191|49377.0|48917.0|
Balıkesir(Burhaniye)-1216|58775.0|64283.0|
Balıkesir(Dursunbey)-1291|36324.0|33333.0|
Balıkesir(Edremit)-1294|148341.0|167901.0|
Balıkesir(Erdek)-1310|32317.0|31902.0|
Balıkesir(Gömeç)-1928|12950.0|16880.0|
Balıkesir(Gönen)-1360|73289.0|74871.0|
Balıkesir(Havran)-1384|27662.0|28058.0|
Balıkesir(İvrindi)-1418|32882.0|31512.0|
Balıkesir(Karesi)-2078|178105.0|187362.0|
Balıkesir(Kepsut)-1462|23342.0|21825.0|
Balıkesir(Manyas)-1514|19356.0|18066.0|
Balıkesir(Marmara)-1824|8828.0|10601.0|
Balıkesir(Savaştepe)-1608|18187.0|16765.0|
Balıkesir(Sındırgı)-1619|33753.0|32408.0|
Balıkesir(Susurluk)-1644|39161.0|37724.0|
Bartın(Amasra)-1761|14867.0|13852.0|
Bartın(Kurucaşile)-1496|6521.0|6337.0|
Bartın(Merkez)-1172|151289.0|161830.0|
Bartın(Ulus)-1701|20900.0|21332.0|
Batman(Beşiri)-1184|29199.0|31465.0|
Batman(Gercüş)-1345|19214.0|19106.0|
Batman(Hasankeyf)-1941|6393.0|7319.0|
Batman(Kozluk)-1487|60933.0|60128.0|
Batman(Merkez)-1174|439667.0|487000.0|
Batman(Sason)-1607|29846.0|29473.0|
Bayburt(Aydıntepe)-1767|6354.0|6119.0|
Bayburt(Demirözü)-1788|7835.0|7900.0|
Bayburt(Merkez)-1176|66228.0|70222.0|
Bilecik(Bozüyük)-1210|73085.0|79538.0|
Bilecik(Gölpazarı)-1359|11546.0|9444.0|
Bilecik(İnhisar)-1948|2254.0|2099.0|
Bilecik(Merkez)-1192|80065.0|84243.0|
Bilecik(Osmaneli)-1559|20973.0|21874.0|
Bilecik(Pazaryeri)-1571|11086.0|9982.0|
Bilecik(Söğüt)-1636|19708.0|18693.0|
Bilecik(Yenipazar)-1857|2976.0|2800.0|
Bingöl(Adaklı)-1750|8221.0|8041.0|
Bingöl(Genç)-1344|33613.0|32757.0|
Bingöl(Karlıova)-1446|30619.0|27083.0|
Bingöl(Kiğı)-1475|5097.0|4684.0|
Bingöl(Merkez)-1193|157921.0|171752.0|
Bingöl(Solhan)-1633|33130.0|33491.0|
Bingöl(Yayladere)-1855|1928.0|1953.0|
Bingöl(Yedisu)-1996|2825.0|2795.0|
Bitlis(Adilcevaz)-1106|30226.0|29541.0|
Bitlis(Ahlat)-1112|39371.0|42810.0|
Bitlis(Güroymak)-1798|46547.0|48576.0|
Bitlis(Hizan)-1394|33708.0|31833.0|
Bitlis(Merkez)-1196|70160.0|72120.0|
Bitlis(Mutki)-1537|31764.0|29910.0|
Bitlis(Tatvan)-1669|89698.0|99198.0|
Bolu(Dörtdivan)-1916|6185.0|6418.0|
Bolu(Gerede)-1346|33511.0|34257.0|
Bolu(Göynük)-1364|15184.0|14434.0|
Bolu(Kıbrıscık)-1466|3111.0|2932.0|
Bolu(Mengen)-1522|13940.0|13578.0|
Bolu(Merkez)-1199|199702.0|219476.0|
Bolu(Mudurnu)-1531|19066.0|18456.0|
Bolu(Seben)-1610|5226.0|4648.0|
Bolu(Yeniçağa)-1997|7259.0|6625.0|
Burdur(Ağlasun)-1109|8255.0|7408.0|
Burdur(Altınyayla)-1874|5403.0|5197.0|
Burdur(Bucak)-1211|65282.0|66894.0|
Burdur(Çavdır)-1899|12729.0|12530.0|
Burdur(Çeltikçi)-1903|5195.0|4898.0|
Burdur(Gölhisar)-1357|22409.0|23626.0|
Burdur(Karamanlı)-1813|7924.0|8150.0|
Burdur(Kemer)-1816|3300.0|2903.0|
Burdur(Merkez)-1215|108297.0|117097.0|
Burdur(Tefenni)-1672|10479.0|10593.0|
Burdur(Yeşilova)-1728|15506.0|14503.0|
Bursa(Büyükorhan)-1783|10041.0|8940.0|
Bursa(Gemlik)-1343|109494.0|120245.0|
Bursa(Gürsu)-1935|84880.0|102601.0|
Bursa(Harmancık)-1799|6491.0|5979.0|
Bursa(İnegöl)-1411|257931.0|294485.0|
Bursa(İznik)-1420|42616.0|44236.0|
Bursa(Karacabey)-1434|82408.0|84907.0|
Bursa(Keles)-1457|11990.0|10955.0|
Bursa(Kestel)-1960|60720.0|74109.0|
Bursa(Mudanya)-1530|90282.0|108011.0|
Bursa(Mustafakemalpaşa)-1535|99972.0|102284.0|
Bursa(Nilüfer)-1829|424909.0|536365.0|
Bursa(Orhaneli)-1553|19503.0|18543.0|
Bursa(Orhangazi)-1554|78048.0|81110.0|
Bursa(Osmangazi)-1832|856770.0|891250.0|
Bursa(Yenişehir)-1725|53228.0|54844.0|
Bursa(Yıldırım)-1859|647520.0|655856.0|
Çanakkale(Ayvacık)-1160|32136.0|34549.0|
Çanakkale(Bayramiç)-1180|29305.0|28952.0|
Çanakkale(Biga)-1190|90788.0|92180.0|
Çanakkale(Bozcaada)-1205|2730.0|3120.0|
Çanakkale(Çan)-1229|48331.0|47954.0|
Çanakkale(Eceabat)-1293|8902.0|8684.0|
Çanakkale(Ezine)-1326|31962.0|31848.0|
Çanakkale(Gelibolu)-1340|44079.0|43984.0|
Çanakkale(Gökçeada)-1408|8769.0|10348.0|
Çanakkale(Lapseki)-1503|26370.0|29336.0|
Çanakkale(Merkez)-1230|175032.0|197841.0|
Çanakkale(Yenice)-1722|32013.0|30587.0|
Çankırı(Atkaracalar)-1765|5323.0|4560.0|
Çankırı(Bayramören)-1885|2126.0|2459.0|
Çankırı(Çerkeş)-1248|16131.0|16526.0|
Çankırı(Eldivan)-1300|5467.0|6163.0|
Çankırı(Ilgaz)-1399|13384.0|13821.0|
Çankırı(Kızılırmak)-1817|7119.0|6986.0|
Çankırı(Korgun)-1963|4034.0|4276.0|
Çankırı(Kurşunlu)-1494|7955.0|8484.0|
Çankırı(Merkez)-1232|95444.0|100596.0|
Çankırı(Orta)-1555|10832.0|12614.0|
Çankırı(Şabanözü)-1649|10683.0|11745.0|
Çankırı(Yapraklı)-1718|7576.0|7536.0|
Çorum(Alaca)-1124|31594.0|29929.0|
Çorum(Bayat)-1177|16509.0|14615.0|
Çorum(Boğazkale)-1778|3686.0|3584.0|
Çorum(Dodurga)-1911|5904.0|5265.0|
Çorum(İskilip)-1414|32248.0|29643.0|
Çorum(Kargı)-1445|15195.0|15464.0|
Çorum(Laçin)-1972|4602.0|4211.0|
Çorum(Mecitözü)-1520|14937.0|13840.0|
Çorum(Merkez)-1259|294050.0|299061.0|
Çorum(Oğuzlar)-1976|5299.0|4896.0|
Çorum(Ortaköy)-1556|6848.0|6264.0|
Çorum(Osmancık)-1558|42922.0|43297.0|
Çorum(Sungurlu)-1642|48554.0|48296.0|
Çorum(Uğurludağ)-1850|6074.0|5765.0|
Denizli(Acıpayam)-1102|55384.0|54888.0|
Denizli(Babadağ)-1769|6495.0|6340.0|
Denizli(Baklan)-1881|5532.0|5296.0|
Denizli(Bekilli)-1774|6824.0|6424.0|
Denizli(Beyağaç)-1888|6549.0|6197.0|
Denizli(Bozkurt)-1889|12736.0|12331.0|
Denizli(Buldan)-1214|27248.0|26630.0|
Denizli(Çal)-1224|19254.0|17889.0|
Denizli(Çameli)-1226|18111.0|17549.0|
Denizli(Çardak)-1233|8673.0|8452.0|
Denizli(Çivril)-1257|60503.0|59967.0|
Denizli(Güney)-1371|9896.0|9448.0|
Denizli(Honaz)-1803|33456.0|34074.0|
Denizli(Kale)-1426|20262.0|19202.0|
Denizli(Merkezefendi)-2079|295699.0|336818.0|
Denizli(Pamukkale)-1871|343290.0|347926.0|
Denizli(Sarayköy)-1597|30462.0|30834.0|
Denizli(Serinhisar)-1840|14488.0|14355.0|
Denizli(Tavas)-1670|43873.0|41712.0|
Diyarbakır(Bağlar)-2040|386578.0|406471.0|
Diyarbakır(Bismil)-1195|116171.0|118698.0|
Diyarbakır(Çermik)-1249|50886.0|49644.0|
Diyarbakır(Çınar)-1253|72682.0|76966.0|
Diyarbakır(Çüngüş)-1263|11836.0|10720.0|
Diyarbakır(Dicle)-1278|38450.0|36114.0|
Diyarbakır(Eğil)-1791|22600.0|21434.0|
Diyarbakır(Ergani)-1315|128642.0|136099.0|
Diyarbakır(Hani)-1381|32573.0|32519.0|
Diyarbakır(Hazro)-1389|16709.0|16093.0|
Diyarbakır(Kayapınar)-2041|342977.0|419513.0|
Diyarbakır(Kocaköy)-1962|16675.0|15355.0|
Diyarbakır(Kulp)-1490|35723.0|34357.0|
Diyarbakır(Lice)-1504|24412.0|24364.0|
Diyarbakır(Silvan)-1624|85256.0|86161.0|
Diyarbakır(Sur)-2042|113447.0|100613.0|
Diyarbakır(Yenişehir)-2043|204284.0|219759.0|
Düzce(Akçakoca)-1116|37924.0|40025.0|
Düzce(Çilimli)-1905|20009.0|19648.0|
Düzce(Cumayeri)-1784|13901.0|15214.0|
Düzce(Gölyaka)-1794|20288.0|20552.0|
Düzce(Gümüşova)-2017|15120.0|16844.0|
Düzce(Kaynaşlı)-2031|20481.0|20449.0|
Düzce(Merkez)-1292|235160.0|258484.0|
Düzce(Yığılca)-1730|14727.0|13915.0|
Edirne(Enez)-1307|10434.0|10488.0|
Edirne(Havsa)-1385|18881.0|17969.0|
Edirne(İpsala)-1412|27402.0|26148.0|
Edirne(Keşan)-1464|81747.0|83874.0|
Edirne(Lalapaşa)-1502|6601.0|6225.0|
Edirne(Meriç)-1523|13801.0|12841.0|
Edirne(Merkez)-1295|178910.0|191470.0|
Edirne(Süloğlu)-1988|7159.0|6348.0|
Edirne(Uzunköprü)-1705|61920.0|59351.0|
Elazığ(Ağın)-1110|2537.0|2610.0|
Elazığ(Alacakaya)-1873|6233.0|5831.0|
Elazığ(Arıcak)-1762|14570.0|13426.0|
Elazığ(Baskil)-1173|12294.0|11605.0|
Elazığ(Karakoçan)-1438|27705.0|28401.0|
Elazığ(Keban)-1455|6229.0|5906.0|
Elazığ(Kovancılar)-1820|39238.0|38913.0|
Elazığ(Maden)-1506|10475.0|8929.0|
Elazığ(Merkez)-1298|437951.0|451029.0|
Elazığ(Palu)-1566|18680.0|17655.0|
Elazığ(Sivrice)-1631|7759.0|7192.0|
Erzincan(Çayırlı)-1243|8710.0|8112.0|
Erzincan(İliç)-1406|7762.0|8905.0|
Erzincan(Kemah)-1459|6864.0|7363.0|
Erzincan(Kemaliye)-1460|4946.0|5170.0|
Erzincan(Merkez)-1318|159589.0|166181.0|
Erzincan(Otlukbeli)-1977|2545.0|2492.0|
Erzincan(Refahiye)-1583|10625.0|11269.0|
Erzincan(Tercan)-1675|17107.0|15653.0|
Erzincan(Üzümlü)-1853|13363.0|14078.0|
Erzurum(Aşkale)-1153|23130.0|21494.0|
Erzurum(Aziziye)-1945|59309.0|65553.0|
Erzurum(Çat)-1235|17355.0|15556.0|
Erzurum(Hınıs)-1392|26163.0|24680.0|
Erzurum(Horasan)-1396|39467.0|36519.0|
Erzurum(İspir)-1416|14469.0|14607.0|
Erzurum(Karaçoban)-1812|23190.0|22250.0|
Erzurum(Karayazı)-1444|28337.0|25543.0|
Erzurum(Köprüköy)-1967|16167.0|14204.0|
Erzurum(Narman)-1540|13399.0|12292.0|
Erzurum(Oltu)-1550|31001.0|30075.0|
Erzurum(Olur)-1551|6398.0|6262.0|
Erzurum(Palandöken)-2044|169478.0|177374.0|
Erzurum(Pasinler)-1567|29302.0|27055.0|
Erzurum(Pazaryolu)-1865|3662.0|3803.0|
Erzurum(Şenkaya)-1657|18101.0|16035.0|
Erzurum(Tekman)-1674|25957.0|23195.0|
Erzurum(Tortum)-1683|14391.0|15259.0|
Erzurum(Uzundere)-1851|7598.0|7625.0|
Erzurum(Yakutiye)-2045|193602.0|190373.0|
Eskişehir(Alpu)-1759|11031.0|9966.0|
Eskişehir(Beylikova)-1777|7471.0|5781.0|
Eskişehir(Çifteler)-1255|15031.0|14906.0|
Eskişehir(Günyüzü)-1934|6404.0|5155.0|
Eskişehir(Han)-1939|1953.0|2052.0|
Eskişehir(İnönü)-1808|6634.0|6173.0|
Eskişehir(Mahmudiye)-1508|7600.0|7575.0|
Eskişehir(Mihalgazi)-1973|4610.0|2987.0|
Eskişehir(Mihalıççık)-1527|8117.0|7659.0|
Eskişehir(Odunpazarı)-2046|399451.0|422423.0|
Eskişehir(Sarıcakaya)-1599|5703.0|4621.0|
Eskişehir(Seyitgazi)-1618|12987.0|12587.0|
Eskişehir(Sivrihisar)-1632|20449.0|20087.0|
Eskişehir(Tepebaşı)-2047|353179.0|384645.0|
Gaziantep(Araban)-1139|32292.0|32933.0|
Gaziantep(İslahiye)-1415|67714.0|67650.0|
Gaziantep(Karkamış)-1956|9558.0|9379.0|
Gaziantep(Nizip)-1546|140779.0|148386.0|
Gaziantep(Nurdağı)-1974|39228.0|41322.0|
Gaziantep(Oğuzeli)-1549|30943.0|33397.0|
Gaziantep(Şahinbey)-1841|902424.0|941055.0|
Gaziantep(Şehitkamil)-1844|760849.0|857167.0|
Gaziantep(Yavuzeli)-1720|21728.0|22762.0|
Giresun(Alucra)-1133|9119.0|8574.0|
Giresun(Bulancak)-1212|65024.0|69415.0|
Giresun(Çamoluk)-1893|8723.0|6469.0|
Giresun(Çanakçı)-1894|6297.0|5981.0|
Giresun(Dereli)-1272|21102.0|18696.0|
Giresun(Doğankent)-1912|6212.0|6715.0|
Giresun(Espiye)-1320|33043.0|37775.0|
Giresun(Eynesil)-1324|12923.0|12471.0|
Giresun(Görele)-1361|29806.0|30973.0|
Giresun(Güce)-1930|7918.0|7806.0|
Giresun(Keşap)-1465|20947.0|19596.0|
Giresun(Merkez)-1352|134937.0|145361.0|
Giresun(Piraziz)-1837|13251.0|13825.0|
Giresun(Şebinkarahisar)-1654|22088.0|19625.0|
Giresun(Tirebolu)-1678|30814.0|32576.0|
Giresun(Yağlıdere)-1854|15189.0|15004.0|
Gümüşhane(Kelkit)-1458|53692.0|41233.0|
Gümüşhane(Köse)-1822|8083.0|6830.0|
Gümüşhane(Kürtün)-1971|14036.0|11913.0|
Gümüşhane(Merkez)-1369|57814.0|54462.0|
Gümüşhane(Şiran)-1660|24154.0|19346.0|
Gümüşhane(Torul)-1684|12394.0|10760.0|
Hakkari(Çukurca)-1261|16661.0|14333.0|
Hakkari(Derecik)-2107||23461.0|
Hakkari(Merkez)-1377|76984.0|77329.0|
Hakkari(Şemdinli)-1656|65941.0|42471.0|
Hakkari(Yüksekova)-1737|116175.0|117739.0|
Hatay(Altınözü)-1131|60603.0|60344.0|
Hatay(Antakya)-2080|370485.0|399045.0|
Hatay(Arsuz)-2081|87666.0|101233.0|
Hatay(Belen)-1887|32336.0|34449.0|
Hatay(Defne)-2082|146803.0|165494.0|
Hatay(Dörtyol)-1289|122568.0|128941.0|
Hatay(Erzin)-1792|41426.0|41558.0|
Hatay(Hassa)-1382|55073.0|56675.0|
Hatay(İskenderun)-1413|247220.0|251682.0|
Hatay(Kırıkhan)-1468|113096.0|121028.0|
Hatay(Kumlu)-1970|13228.0|13333.0|
Hatay(Payas)-2083|41153.0|43919.0|
Hatay(Reyhanlı)-1585|95057.0|108092.0|
Hatay(Samandağ)-1591|119558.0|123447.0|
Hatay(Yayladağı)-1721|28954.0|36803.0|
Iğdır(Aralık)-1142|21461.0|20133.0|
Iğdır(Karakoyunlu)-2011|13953.0|13565.0|
Iğdır(Merkez)-1398|136155.0|147197.0|
Iğdır(Tuzluca)-1692|23206.0|22699.0|
Isparta(Aksu)-1755|4534.0|4131.0|
Isparta(Atabey)-1154|5443.0|5970.0|
Isparta(Eğirdir)-1297|32503.0|30854.0|
Isparta(Gelendost)-1341|15533.0|14678.0|
Isparta(Gönen)-1929|7337.0|6883.0|
Isparta(Keçiborlu)-1456|13897.0|13830.0|
Isparta(Merkez)-1401|251531.0|268595.0|
Isparta(Şarkikaraağaç)-1651|25176.0|24660.0|
Isparta(Senirkent)-1615|11614.0|10720.0|
Isparta(Sütçüler)-1648|10700.0|9869.0|
Isparta(Uluborlu)-1699|6643.0|6554.0|
Isparta(Yalvaç)-1717|46823.0|45931.0|
Isparta(Yenişarbademli)-2001|2096.0|2650.0|
İstanbul(Adalar)-1103|14907.0|16690.0|
İstanbul(Arnavutköy)-2048|261655.0|326452.0|
İstanbul(Ataşehir)-2049|423372.0|423127.0|
İstanbul(Avcılar)-2003|435682.0|452132.0|
İstanbul(Bağcılar)-2004|748483.0|740069.0|
İstanbul(Bahçelievler)-2005|598454.0|594350.0|
İstanbul(Bakırköy)-1166|222370.0|226685.0|
İstanbul(Başakşehir)-2050|396729.0|514900.0|
İstanbul(Bayrampaşa)-1886|274197.0|275314.0|
İstanbul(Beşiktaş)-1183|185447.0|175190.0|
İstanbul(Beykoz)-1185|251087.0|247875.0|
İstanbul(Beylikdüzü)-2051|314670.0|412835.0|
İstanbul(Beyoğlu)-1186|236606.0|225920.0|
İstanbul(Büyükçekmece)-1782|243474.0|277181.0|
İstanbul(Çatalca)-1237|69057.0|77468.0|
İstanbul(Çekmeköy)-2052|248859.0|296066.0|
İstanbul(Esenler)-2016|454569.0|445421.0|
İstanbul(Esenyurt)-2053|846492.0|983571.0|
İstanbul(Eyüp)-1325|381114.0||
İstanbul(Eyüpsultan)-1325||422913.0|
İstanbul(Fatih)-1327|433873.0|368227.0|
İstanbul(Gaziosmanpaşa)-1336|497959.0|495998.0|
İstanbul(Güngören)-2010|296967.0|282692.0|
İstanbul(Kadıköy)-1421|451453.0|483064.0|
İstanbul(Kağıthane)-1810|442694.0|455943.0|
İstanbul(Kartal)-1449|463433.0|483418.0|
İstanbul(Küçükçekmece)-1823|770393.0|808957.0|
İstanbul(Maltepe)-2012|497586.0|528544.0|
İstanbul(Pendik)-1835|698260.0|750435.0|
İstanbul(Sancaktepe)-2054|402391.0|489848.0|
İstanbul(Sarıyer)-1604|344876.0|350454.0|
İstanbul(Şile)-1659|35131.0|43464.0|
İstanbul(Silivri)-1622|180524.0|217163.0|
İstanbul(Şişli)-1663|274196.0|276528.0|
İstanbul(Sultanbeyli)-2014|329985.0|358201.0|
İstanbul(Sultangazi)-2055|528514.0|542531.0|
İstanbul(Tuzla)-2015|252923.0|288878.0|
İstanbul(Ümraniye)-1852|699901.0|732379.0|
İstanbul(Üsküdar)-1708|533570.0|524452.0|
İstanbul(Zeytinburnu)-1739|287378.0|292616.0|
İzmir(Aliağa)-1128|94070.0|104828.0|
İzmir(Balçova)-2006|78442.0|80721.0|
İzmir(Bayındır)-1178|40258.0|40073.0|
İzmir(Bayraklı)-2056|314402.0|298519.0|
İzmir(Bergama)-1181|102961.0|105754.0|
İzmir(Beydağ)-1776|12391.0|12030.0|
İzmir(Bornova)-1203|442839.0|454470.0|
İzmir(Buca)-1780|492252.0|522404.0|
İzmir(Çeşme)-1251|41278.0|48924.0|
İzmir(Çiğli)-2007|190607.0|214065.0|
İzmir(Dikili)-1280|41697.0|47360.0|
İzmir(Foça)-1334|31061.0|34946.0|
İzmir(Gaziemir)-2009|136273.0|137754.0|
İzmir(Güzelbahçe)-2018|31429.0|37753.0|
İzmir(Karabağlar)-2057|480790.0|479338.0|
İzmir(Karaburun)-1432|9812.0|12200.0|
İzmir(Karşıyaka)-1448|342062.0|346264.0|
İzmir(Kemalpaşa)-1461|105506.0|114250.0|
İzmir(Kınık)-1467|28271.0|28694.0|
İzmir(Kiraz)-1477|43859.0|43510.0|
İzmir(Konak)-1819|363181.0|332277.0|
İzmir(Menderes)-1826|89777.0|106173.0|
İzmir(Menemen)-1521|170090.0|200904.0|
İzmir(Narlıdere)-2013|66269.0|62923.0|
İzmir(Ödemiş)-1563|132241.0|132740.0|
